run_name,coherence,hallucination,perplexity,learning_rate,batch_size,epochs,max_input_len,score
pretrained,0.04948056115528698,0.09051949635127524,1.2521706054795463,3e-05,8,0,384,-0.05356064125078372
finetuned_best,0.44953810939061567,0.2356659122250489,1.1892259795710725,3e-05,8,3,384,0.20197993736985603
